data,label
C:\Users\piotr\Python\rehabnet\dataset\48ddfcb9.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\f68718ef.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\a9c38e0e.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\2ccdcee1.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\a13630b5.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\406a0e14.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\2f658a00.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\42ba7138.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\defdf8ad.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\a44792d0.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\0f9ee13b.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\54692c35.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\b4a5b6f6.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\0dfb695d.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\2d080d9d.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\e7afa7cf.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\7e411589.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\d52783aa.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\7b2807d4.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\2a13e211.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\bfeb4df5.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\05635d9f.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\91427184.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\55b98750.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\1424676a.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\94bb94d0.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\05ea3518.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\61bb9b0e.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\1c29d65a.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\0cf93f06.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\8ed10acc.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\d15f68df.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\dbe13cf3.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\59c3cb0b.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\9be078c8.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\55e7e57c.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\f446f9b3.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\84887a55.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\215809ed.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\80e91d32.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\e9ea49b6.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\64a875f9.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\75b8dc15.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\53499db8.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\04db5013.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\388af055.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\d99cb795.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\f24fab8f.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\121d46b6.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\29834d96.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\dae9eb0a.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\7799a776.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\295ef5f7.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\c721fe53.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\ac29340b.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\87f8b91d.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\c6eea727.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\f4488f0e.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\59760d79.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\fdd9d03e.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\065896e1.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\e138fdb1.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\bfb21608.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\4ea73a87.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\250979ae.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\c03f855f.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\d7620efb.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\9e9576dc.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\ea6c4cad.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\1e3e7f42.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\c284b54e.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\2398ed34.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\a9f96285.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\1f4c1570.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\ca6360b6.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\a8266bf9.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\7a6c47e2.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\a736ca38.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\42650a77.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\4b52ee98.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\f39b46b7.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\9bed408b.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\bf7bb26a.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\0e045512.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\c0ee1c3b.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\6737591a.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\d452e9df.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\0480aab9.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\be5d036b.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\515178a8.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\b294d44e.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\0c025a12.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\12815af6.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\25419d5e.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\6cbf751d.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\a441d9c0.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\94c3bbc9.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\a148cbc4.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\0545102e.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\e1da5fc2.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\437e45be.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\2c7789c3.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\7fd775a4.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\5470bcf9.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\7f51f6e3.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\7226d89c.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\bc425466.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\01546abf.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\6ff274cc.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\1a09634c.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\457c5773.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\52f33849.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\4d69282c.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\6927817f.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\7d2a4a0b.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\dddcc7b9.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\4462133c.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\76ddb6c2.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\35a0b31c.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\71d9a836.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\7f15cb18.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\58dba34a.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\4f7ab764.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\d838e524.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\5fa28b9e.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\26798027.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\493f223b.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\2f0d2b5a.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\dbdcecd1.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\1b8a1cc0.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\175018cc.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\60cd9c2a.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\d1422e10.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\c7f5899c.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\4be6c670.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\bff9fab0.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\04884ead.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\e979dc96.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\e0f1a5be.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\5b4baa5c.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\03130177.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\60c7113a.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\51c54e55.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\392339a4.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\fc25442a.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\59444a9d.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\4656ff1c.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\406925f9.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\ca2f60f8.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\72982b59.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\69f3508e.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\f133394b.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\63c4140d.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\ba8b05d5.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\5933d3c5.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\c1483bf0.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\01a5bedc.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\d32eab65.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\eb104454.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\09fc0134.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\a313cdbe.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\3d6c5381.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\c75d4095.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\494a7fab.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\0fc17823.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\83e636ff.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\1f96c315.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\61251649.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\8054d187.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\abcc710f.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\38efdd66.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\0610cc19.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\73a44342.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\53043bb5.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\f6d82150.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\deaa9efe.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\dd0f0e89.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\2260ae0a.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\0de5ccaf.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\704c5991.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\73e9c7d1.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\dba1f6b8.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\13f4b76c.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\dc8f13a7.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\fdd911d8.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\ec967cab.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\b8228e7e.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\af6b5fe1.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\54d23397.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\b1ff6a26.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\f2767d89.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\3aac386e.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\52724004.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\f7ef56b4.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\384febe2.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\3729a477.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\484a1247.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\a52abcc9.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\bae14962.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\386f817f.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\6781e8bc.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\cac3b4c4.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\3494be97.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\44dc2a78.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\e15e4b9a.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\c74e41e5.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\12d24ac3.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\6c048a9a.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\77e1cb83.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\45fc6f9d.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\b605955c.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\5bb654fd.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\86c251cf.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\fe689a1b.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\7788a811.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\c9914ba2.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\5fcd8c8d.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\32a3d8d2.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\224b31a2.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\1809ab4e.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\230cc80d.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\e2d69724.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\4ce38b2d.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\53400f2f.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\33e89e09.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\0caeaf53.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\9b4069a2.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\c677cdb4.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\815bb90e.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\7d18b304.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\096d6b47.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\063e81c0.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\eba0b694.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\7d04e876.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\fd871049.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\a4bbfde3.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\08f6ceeb.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\2ca858ac.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\64eec421.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\898024a6.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\b165b1fe.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\b767a0a3.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\812a02f4.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\d8589ec8.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\615288db.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\1b91e6ab.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\b2366b14.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\8269e6de.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\a4e40736.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\7e26404c.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\9cdca7b4.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\e3d1aa3e.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\c2645294.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\33c63c4d.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\bced43db.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\a71f1e45.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\c3d6648c.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\4649a0f2.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\a67eb5ee.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\83ac604d.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\b3d45476.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\c1605e01.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\942d5d72.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\2facb4f5.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\fa632419.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\e6ffe96f.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\3f4d1094.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\883b1f40.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\47d649f9.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\c1c9a42a.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\051aeffc.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\fe2732ef.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\cc9c07c6.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\8cc31faf.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\75ab87ae.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\dfeddaf3.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\46cb8f34.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\2f735fe0.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\02acbd37.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\f2b64d95.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\ad6ad92c.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\3f326a24.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\2fa01b9e.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\60e31f49.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\772de090.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\3cc840bb.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\fb2f5c97.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\9970d648.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\00db7f65.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\80964c23.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\2d9d3a46.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\d6045f22.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\f746a704.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\051c85bd.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\11ce2a20.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\38e5b124.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\5badf2a2.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\ad81add2.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\744de4b0.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\70efa1af.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\eef2a7ba.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\7881df94.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\ccd8a4a8.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\6226b660.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\45d1389d.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\b3b4fd74.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\89fe9e54.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\cad99875.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\7391dffc.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\5638a69f.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\5cc057d7.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\a1143be3.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\cf035ff2.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\7abd1bc0.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\d3b69b61.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\8f0a89e5.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\4e880631.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\1b9a59fc.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\6ff60f82.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\93d6eeb3.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\9dda293e.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\a97f3ce4.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\0263adea.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\eb09ea76.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\77bcb6f2.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\cd91260d.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\6ee5b79d.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\2060b930.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\9a33cef7.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\23a5ffcd.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\0f1f7d98.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\981c3db7.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\ffbf8a0a.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\10601cb0.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\c23cabe3.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\751346c1.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\d22e7275.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\a2200416.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\56b8f393.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\22118ae5.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\31760060.npy,IDLE
C:\Users\piotr\Python\rehabnet\dataset\759f6614.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\16914877.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\189445e7.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\e1f7ead2.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\576b6c5d.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\b96c9a23.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\873a3ad7.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\189a8d9f.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\f02b2922.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\639d41aa.npy,FD
C:\Users\piotr\Python\rehabnet\dataset\37b9ba0b.npy,FD
